id,name,category,created_at,updated_at,scientific_name,distribution,habitat,size,depth_range,description
1,ハコフグ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Ostracion immaculatum,岩手県以南、南日本、伊豆・小笠原諸島、朝鮮半島、香港,岩礁域を含む沿岸の浅所,全長約20cm,15m,ハコフグの仲間。体が硬い骨板でできた箱のような鎧で覆われている。皮膚からパフトキシンという粘液毒を出すため、取り扱いには注意が必要。オスは鮮やかな青い体に白い斑点、メスや若魚は茶色い体色をしている。サンゴ礁や岩礁域をゆっくりとホバリングするように泳ぐ姿が愛らしい。
2,ミナミハコフグ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Ostracion cubicum,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋、大西洋南東部,サンゴ礁域、礁池や礁斜面,体長約3cm（幼魚）,15m,ハコフグの仲間で、特に幼魚は鮮やかな黄色のサイコロのような体型でダイバーに人気です。成長すると体色は褐色がかった黄色に変化し、体型も丸みを帯びます。サンゴの枝の間や岩陰に隠れていることが多い幼魚を探すのも楽しみの一つです。皮膚から毒を出すことがあるため、脅かさずにそっと観察しましょう。
3,クロハコフグ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Ostracion meleagris,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；ハワイ諸島と紅海を除くインド・太平洋,礁池や礁斜面など15m以浅にあるサンゴの根の周辺に砂地のある場所,全長約18cm,10m,ハコフグの仲間で、硬い骨板の「箱」で体が覆われています。オスとメスで体色が異なり、オスは青地に鮮やかなオレンジ色の斑点を持つ美しい姿をしていますが、メスは黒地に白い斑点で「ミナミハコフグ」という別名で呼ばれることもあります。ゆっくりと泳ぎますが、皮膚から毒を出すことがあるため、触れないようにしましょう。
5,ウミスズメ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Lactoria diaphana,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・汎太平洋、大西洋南東部,岩礁と砂地の境界付近,全長約15cm,25m,フグの仲間で、体が硬い骨板で覆われた箱のような形をしています。体は半透明で、内臓が透けて見えることがあります。体の断面は三角形です。泳ぎはあまり得意ではなく、胸ビレなどを細かく動かしてホバリングするようにゆっくりと泳ぎます。危険を感じると皮膚から毒を出すため、素手で触るのは危険です。
6,シマウミスズメ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Lactoria fornasini,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋、大西洋南東部,岩礁域,全長約2.5cm,20m,ハコフグの仲間で、硬い骨板に覆われた箱型の体をしています。頭部に2本の長い角があり、牛のようにも見えます。岩陰やガレ場に潜み、ゆっくりと泳ぎます。幼魚は非常に小さく、流れ藻についていることもあります。危険を感じると皮膚から毒を出すため、触れないように注意しましょう。
7,クラカケチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon adiergastos,和歌山県以南～琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域,全長約12cm,10m,チョウチョウウオの仲間で、白い体に目の周りから背ビレにかけて黒い帯模様が入るのが特徴です。サンゴ礁の斜面やドロップオフで、ペアや小さな群れで行動します。主にサンゴのポリプを食べます。警戒心はやや強いですが、ダイバーの周りを遠巻きに泳ぐこともあり、優雅な姿を観察することができます。
8,カガミチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon argentatus,南日本の太平洋岸、琉球列島、小笠原諸島；西部太平洋の熱帯域,岩礁域、サンゴ礁域,全長約10cm,5m,チョウチョウウオの仲間で、銀白色の体に黒い斑点が並ぶシックな色合いが特徴です。サンゴ礁域や岩礁域に生息し、ペアまたは小さな群れで行動します。主にサンゴのポリプを食べます。日本の固有種で、特に琉球列島でよく見られます。他のチョウチョウウオに比べて、ややシャイな性質を持っています。
9,トゲチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon auriga,山陰地方、南日本の太平洋岸、琉球列島、朝鮮半島、インド・太平洋岩礁域、サンゴ礁域,サンゴ礁域、岩礁域,全長約13cm,10m,チョウチョウウオの仲間で、背びれの後方が糸状に長く伸びるのが大きな特徴です。サンゴ礁から岩礁、砂地まで幅広い環境に適応しており、単独またはペアで行動します。雑食性で、藻類やサンゴのポリプ、小型の甲殻類などを食べます。ダイバーにも比較的人懐っこく、観察しやすいチョウチョウウオの一つです。
10,ミカドチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon baronessa,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域,全長約12cm,1-20m,チョウチョウウオの仲間で、ミドリイシ類など特定のサンゴを主食とします。黄色い体に黒い山型の模様が並ぶのが特徴で、サンゴのポリプを食べるために進化した口をしています。食性から、健全なサンゴ礁の指標となる生物の一つです。ペアで行動していることが多いです。
11,チョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon auripes,南日本の太平洋岸、琉球列島、小笠原諸島、台湾、西沙諸島,岩礁域、サンゴ礁域,全長約12cm,10m,チョウチョウウオの仲間で、黄色い体に黒い目隠し模様が特徴です。日本の温帯域を代表する種で、岩礁域で普通に見られます。ペアで行動していることが多く、岩肌についた付着生物やゴカイなどをついばんで食べます。他のチョウチョウウオに比べて、ダイバーに対する警戒心はやや強い傾向があります。
12,ウミヅキチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon bennetti,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約12cm,10m,チョウチョウウオの仲間で、黄色い体に青みがかった白い斑点があり、目を通る黒い帯と背ビレ後方の大きな黒い斑点が特徴です。この黒い斑点が「月の輪」に見えることが名前の由来です。サンゴのポリプを主食としており、サンゴ礁域で単独またはペアで行動しています。サンゴをつつく姿が観察できます。
13,ゴマチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon citrinellus,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約10cm,5m,チョウチョウウオの仲間で、鮮やかなレモンイエローの体に細かい黒い点が散らばるのが特徴です。主にサンゴのポリプを食べるため、サンゴが豊かな浅いサンゴ礁や岩礁域でよく見られます。単独かペアで行動していることが多く、ダイバーにも比較的近寄りやすい魚です。
14,ユウゼン,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon daedalma,南日本の太平洋岸、伊豆・小笠原諸島および南・北大東島,岩礁域、サンゴ礁域,全長約11cm,15m,チョウチョウウオの仲間で、小笠原諸島や伊豆諸島などで見られる日本の固有種です。黒褐色の体に細かい網目模様が広がり、尾ビレの白さが際立つシックな見た目が特徴です。岩礁域に生息し、ペアや数匹の群れで行動します。岩の表面についた藻類や小型の無脊椎動物などをついばむようにして食べます。
