id,name,prefecture,created_at,updated_at,latitude,longitude
107,三木浦,三重県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.984595,136.2409937
108,九鬼,三重県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.0160785,136.2426381
109,南勢,三重県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.7165307,136.497108
110,尾鷲,三重県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.0747359,136.1901497
111,梶賀,三重県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.0699789,136.1885844
112,賢島,三重県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.3084726,136.8192197
113,唐津,佐賀県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.4462729,129.9677507
114,城崎,兵庫県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,35.6284945,134.8108902
115,竹野,兵庫県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,35.6499609,134.7563763
116,舞子,兵庫県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.6334854,135.0337724
117,須磨,兵庫県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.6423371,135.1125273
118,ウトロ,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,44.0712561,144.993586
119,函館,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,41.7743441,140.7262486
120,奥尻島,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,42.1523485,139.4670114
121,室蘭,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,42.3178489,140.9757765
122,屈斜路湖,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,43.6165696,144.3105306
123,支笏湖,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,42.7538546,141.3275269
124,洞爺湖,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,42.6019661,140.8956911
125,焼尻島,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,44.4370093,141.4069483
126,積丹,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,43.2986409,140.5977945
127,羅臼,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,44.0218752,145.1897435
128,美国,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,43.298296,140.59886
129,臼尻,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,41.9355814,140.9445923
130,釧路川,北海道,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,43.2364286,144.5322783
131,勝浦,千葉県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,35.1530976,140.3128799
132,沖ノ島（千葉）,千葉県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.9906818,139.8249059
133,行川,千葉県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,35.2836583,140.2834381
134,鴨川,千葉県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,35.1140584,140.098692
135,鵜原,千葉県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,35.140844,140.2784674
136,すさみ,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.5467621,135.4957487
137,みなべ,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.7674776,135.3243949
138,串本,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.4755656,135.7816979
139,南紀白浜,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.6624584,135.3628105
140,古座,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.5193114,135.820911
141,潮岬,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.4377085,135.7549926
142,田辺,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.7278991,135.3777917
143,白崎,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.976765,135.0703973
144,白浜,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.67588,135.387313
145,紀伊大島,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.4651755,135.8315119
146,那智勝浦,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.6440079,135.9365521
147,須江,和歌山県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.4644116,135.8251333
148,女川,宮城県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,38.4468454,141.4436001
149,志津川,宮城県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,38.6829135,141.4450478
150,指ヶ浜,宮城県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,38.4782083,141.4994833
151,竹浦,宮城県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,38.4444738,141.4881238
152,周防大島,山口県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.912194,132.2490724
153,油戸,山口県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.354847,130.903075
154,相島（山口）,山口県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.507651,131.2818684
155,笠戸島,山口県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,33.9602425,131.8547822
156,萩,山口県,2025-09-27T08:10:59.530945+00:00,2025-09-27T08:10:59.530945+00:00,34.3938041,131.4010475
157,蓋井島,山口県,2025-09-27T08:10:59.878678+00:00,2025-09-27T08:10:59.878678+00:00,34.1037925,130.7866847
158,見島,山口県,2025-09-27T08:10:59.878678+00:00,2025-09-27T08:10:59.878678+00:00,34.7782565,131.1401195
159,青海島,山口県,2025-09-27T08:10:59.878678+00:00,2025-09-27T08:10:59.878678+00:00,34.4180085,131.1936226
160,須佐,山口県,2025-09-27T08:10:59.878678+00:00,2025-09-27T08:10:59.878678+00:00,34.6218519,131.6054511
161,鼠ヶ関,山形県,2025-09-27T08:10:59.878678+00:00,2025-09-27T08:10:59.878678+00:00,38.5556283,139.548666
162,本栖湖,山梨県,2025-09-27T08:10:59.878678+00:00,2025-09-27T08:10:59.878678+00:00,35.4643056,138.585505
163,田野畑,岩手県,2025-09-27T08:10:59.878678+00:00,2025-09-27T08:10:59.878678+00:00,39.9304666,141.8889631
