id,name,manufacturer,created_at,updated_at
1,LE330h,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
2,LE350,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
3,LE600h-S,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
4,LE600h-W,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
5,LE700-S,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
6,LE700-W,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
7,LF650h-N,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
8,LF800-N,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
9,LF1000-S,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
10,LF1100h-EWf,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
11,LF1300-EWf,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
12,LF1400-S,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
13,LF2400h-EW,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
14,LF2700-W,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
15,LF3100-EW,INON,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
16,S5,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
17,SYSTEM01:re Single Light SUPER-NATURAL COLOR,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
18,SYSTEM01:re Single Light Premium Color,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
19,SYSTEM02:re Single Light SUPER-NATURAL COLOR,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
20,SYSTEM02:re Single Light Premium Color,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
21,SYSTEM01:re Twin Light SUPER-NATURAL COLOR,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
22,SYSTEM01:re Twin Light Module PREMIUM COLOR,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
23,SYSTEM02:re Twin Light SUPER-NATURAL COLOR,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
24,SYSTEM02:re Twin Light Module PREMIUM COLOR,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
25,SYSTEM01:re Spot Beam,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
26,SYSTEM02:re Spot Beam,RGBlue,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
27,LX-1200SW FS,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
28,LX-2400SW FS,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
29,FIX NEO 1500 DX SW II,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
30,LX-4000SW FS,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
31,FIX NEO Premium 4030 EF II,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
32,FIX NEO Premium 1500DX SWRII FS,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
33,FIX NEO Premium 3000DX SWRII FS,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
34,FIX リングライト 1500,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
35,FIXリングディフューザーTG,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
36,FIX リングライト 1500,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
37,FIX リングライト 1000,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
38,FIX AQUAVOLT 7000α,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
39,FIX AQUAVOLT 5000Mini,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
40,WF SmartFocus 1200FR 2025II,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
41,Weefine WF Smart Focus 2600,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
42,Weefine WF Smart Focus 1000,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
43,Weefine WF Ring Light 3018,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
44,Weefine WF Solar Flare 12000,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
45,Weefine WF Solar Flare 13000PRO,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
46,Weefine WF Solar Flare 7000S,Fisheye,2025-09-23 06:13:49.529049+00,2025-09-23 06:13:49.529049+00
