和名,学名,分布,生息場所,体長,深さ
クルマエビ,Marsupenaeus japonicus,北海道南部以南、韓国、東南アジア、オーストラリア北部、フィジー、インド洋、地中海東部,内湾、砂底、砂泥底,15cm,15m以深
フトミゾエビ,Marsupenaeus latisulcatus,房総半島以南、韓国、東南アジア、オーストラリア、フィジー,内湾、砂底、砂泥底,13cm,5m以深
クマエビ,Penaeus semisulcatus,房総半島以南、韓国、東南アジア、オーストラリア、フィジー、インド洋、地中海東部,内湾、砂底、砂泥底,15cm,25m以深
サルエビ,Trachysalambria curvirostris,北海道南部以南、韓国、東南アジア、オーストラリア、インド洋,内湾、砂底、砂泥底,10cm,20m以深
トラエビ,Metapenaeopsis acclivis,東京湾以南、台湾,内湾、砂底、砂泥底,6cm,20～60m
アカエビ,Metapenaeopsis barbata,相模湾以南、韓国、東南アジア、インド洋,内湾、砂底、砂泥底,4.5cm,20～80m
カクレクルマエビ,Thalassionetes ponticulosus,琉球列島以南、東南アジア、オーストラリア,内湾、サンゴ礁、藻場、港内,6cm,5m以深
イシエビ,Sicyonia cristata,東京湾以南、台湾、香港、オーストラリア北部,内湾、砂底、砂泥底、砂礫底、貝殻砂底,2cm,15～350m
ヤマトイシエビ,Sicyonia japonica,相模湾以南、台湾、香港、アデン湾,内湾、砂底、砂泥底、砂礫底、貝殻砂底,2cm,10～300m
トゲイシエビ,Sicyonia lancifera,相模湾以南、東南アジア、インド洋、紅海,内湾、砂底、砂泥底、砂礫底、貝殻砂底,2cm,15～50m
サラサエビ,Rhynchocinetes uritai,房総半島～下関、韓国,岩礁、磯、礁壁、転石帯,4cm,3～30m
スザクサラサエビ,Rhynchocinetes durbanensis,琉球列島以南、東南アジア、インド洋,サンゴ礁、離れ根、岩礁、磯,3cm,3m以深
ヤイトサラサエビ,Rhynchocinetes conicidens,房総半島以南、小笠原諸島、琉球列島,サンゴ礁、離れ根、岩礁、磯,4.5cm,3m以深
アカモンサラサエビ,Cinetorhynchus erythrostictus,八丈島以南、琉球列島、ニューカレドニア,サンゴ礁、水路、礁洞、礁壁,5cm,3m以深
アカネサラサエビ,Cinetorhynchus biani,小笠原諸島、琉球列島、台湾、マーシャル諸島、ハワイ、フランス領ポリネシア,サンゴ礁、水路、礁洞、礁壁,4cm,3m以深
ヒボタンサラサエビ,Cinetorhynchus concolor,八丈島以南、オーストラリア北部、ハワイ,サンゴ礁、水路、礁洞、礁壁,4cm,15m
オオサンゴサラサエビ,Cinetorhynchus striatus,奄美大島以南、フィリピン、ニューカレドニア,サンゴ礁、水路、礁洞、礁壁,8cm,10m
サンゴサラサエビ,Cinetorhynchus hendersoni,真鶴半島以南、東南アジア、ハワイ、オーストラリア、フランス領ポリネシア、インド洋、紅海,サンゴ礁、岩礁、転石帯、港内,4cm,3m
エンヤサラサエビ,Cinetorhynchus reticulatus,八丈島以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋、紅海,サンゴ礁、岩礁、水路、礁洞,4cm,14m
フリソデエビ,Hymenocera picta,駿河湾以南、ハワイ、フランス領ポリネシア、東部太平洋、インド洋、紅海,サンゴ礁、サンゴ瓦礫、岩礁、転石帯,3cm,6m
トゲツノメエビ,Phyllognathia ceratophthalma,鹿児島湾以南、インドネシア、ニューカレドニア、モルジブ諸島,サンゴ礁、岩礁、転石下、サンゴ瓦礫,2.5cm,5m以深
サガミツノメエビ,Phyllognathia simplex,伊豆半島以南、パプアニューギニア、オーストラリア北部,礁斜面、砂底、砂泥底、イソギンチャク類,0.8cm,30m以深
ヨコシマエビ,Gnathophyllum americanum,相模湾以南、東南アジア、オーストラリア、ハワイ、フランス領ポリネシア、インド洋、大西洋,サンゴ礁、岩礁、藻場、潮下帯、ヒトデ、イツバナ、ウニ類,2cm,2m以深
バイプウニエビ,Lissocaris mammillata,小笠原諸島、琉球諸島、東南アジア、マーシャル諸島、ハワイ,サンゴ礁、岩礁、礁原、礁斜面、ウニ類,1cm,3～15m
