和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
クルマエビ,Marsupenaeus japonicus,北海道南部以南、韓国、東南アジア、オーストラリア北部、フィジー、インド洋、地中海東部,砂泥底,15cm,15m以深,灰褐色の体に縞模様があり、夜行性で日中は砂に潜っています。,クルマエビは灰褐色の体に縞模様が特徴で、夜行性のため日中は砂泥底に潜っています。ダイビング中は砂地を注意深く観察すると、触角だけを出している姿が見られることがあります。撮影時はゆっくり近づき、砂から出てくる瞬間を狙うと良いでしょう。食用としても人気で、漁獲対象として重要な種です。
フトミゾエビ,Marsupenaeus latisulcatus,房総半島以南、韓国、東南アジア、オーストラリア、フィジー,砂泥底,13cm,5m以深,淡い褐色の体で、クルマエビに似ていますがより深い場所に生息します。,フトミゾエビは淡い褐色の体で、クルマエビに似ていますが、より深い砂泥底に生息します。体はやや透明感があり、触角が長いのが特徴です。夜間に活動するため、ナイトダイビングで観察できる可能性が高くなります。砂地をゆっくり移動しながら探すと、餌を探している姿を見られるかもしれません。
クマエビ,Penaeus semisulcatus,房総半島以南、韓国、東南アジア、オーストラリア、フィジー、インド洋、地中海東部,砂泥底,15cm,25m以深,褐色の体に薄い縞模様があり、大きな個体は食用として重宝されます。,クマエビは褐色の体に薄い縞模様があり、特に大きな個体は食用として重宝されます。水深25m以深の砂泥底に生息し、夜行性のため日中は砂に潜っています。ナイトダイビングで活動中の個体を観察できる可能性が高いです。撮影時はフラッシュを使わず、自然光で撮ると美しい色合いが再現できます。
サルエビ,Trachysalambria curvirostris,北海道南部以南、韓国、東南アジア、オーストラリア、インド洋,砂泥底,10cm,20m以深,赤褐色の体で、やや小型。群れで行動することが多いです。,サルエビは赤褐色の体で、やや小型のエビです。群れで行動することが多く、砂泥底で観察されます。水深20m以深に生息し、夜間に活動的になります。ダイビング中は砂地の小さな起伏や窪みを注意深く観察すると、群れでいる姿が見られるかもしれません。動きが素早いため、撮影時は連写モードがおすすめです。
トラエビ,Metapenaeopsis acclivis,東京湾以南、台湾,砂泥底,6cm,20～60m,小さな体に虎のような縞模様があり、水深20～60mに生息します。,トラエビは小さな体に虎のような縞模様が特徴で、水深20～60mの砂泥底に生息します。体長は最大6cm程度と小型で、砂地を活発に移動します。ダイビング中は砂地の小さな窪みや流れ藻の周辺を探すと見つけやすいです。動きが速いため、観察時はゆっくりと近づくことがポイントです。
アカエビ,Metapenaeopsis barbata,相模湾以南、韓国、東南アジア、インド洋,砂泥底,4.5cm,20～80m,赤みがかった小さなエビで、水深20～80mの砂泥底に生息します。,アカエビは赤みがかった小さなエビで、水深20～80mの砂泥底に生息します。体長は最大4.5cm程度と非常に小型で、砂地を活発に移動します。群れで行動することが多く、砂地を注意深く観察すると複数個体が見られることがあります。動きが速いため、撮影時は事前に構図を決めておくと良いでしょう。
カクレクルマエビ,Thalassionetes ponticulosus,琉球列島以南、東南アジア、オーストラリア,サンゴ礁域,6cm,5m以深,透明感のある体に赤い斑点があり、サンゴの間を移動します。,カクレクルマエビは透明感のある体に赤い斑点が特徴で、サンゴ礁域に生息します。サンゴの枝や隙間を活発に移動し、餌を探す様子が観察できます。体長は最大6cm程度で、比較的観察しやすいサイズです。サンゴの健康状態を示す指標種としても知られており、サンゴ礁の生態系を理解する上で重要な種です。
イシエビ,Sicyonia cristata,東京湾以南、台湾、香港、オーストラリア北部,砂泥底,2cm,15～350m,非常に小さなエビで、背中に棘のような突起があります。,イシエビは非常に小さなエビで、背中に棘のような突起があるのが特徴です。水深15～350mの広範囲に生息し、砂泥底で観察されます。体長は最大2cm程度と非常に小型で、肉眼での観察が難しい場合があります。マクロレンズを使用すると、独特の体形や棘の様子を詳細に観察できます。
ヤマトイシエビ,Sicyonia japonica,相模湾以南、台湾、香港、アデン湾,砂泥底,2cm,10～300m,小さなエビで、ヤマトイシエビは日本固有種です。,ヤマトイシエビは小さなエビで、日本固有種です。水深10～300mの砂泥底に生息し、体長は最大2cm程度と非常に小型です。背中にある棘状の突起が特徴で、砂地を移動する姿が観察できます。マクロ撮影に最適な被写体で、独特の体形をクローズアップすると面白い写真が撮れます。
トゲイシエビ,Sicyonia lancifera,相模湾以南、東南アジア、インド洋、紅海,砂泥底,2cm,15～50m,背中の棘が特に発達した小さなエビで、水深15～50mに生息します。,トゲイシエビは背中の棘が特に発達した小さなエビで、水深15～50mの砂泥底に生息します。体長は最大2cm程度と小型ですが、特徴的な体形で識別が容易です。砂地を移動する姿が観察でき、マクロレンズで撮影すると棘の詳細な構造がよくわかります。動きがやや鈍いため、観察や撮影が比較的容易な種です。
サラサエビ,Rhynchocinetes uritai,房総半島～下関、韓国,岩礁域,4cm,3～30m,鮮やかな赤と白の模様があり、岩の隙間を好みます。,サラサエビは鮮やかな赤と白の模様が特徴で、岩礁域の隙間や洞窟を好みます。体長は最大4cm程度で、岩の陰でじっとしていることが多いです。特に求愛期にはオスがメスの周りでダンスのような行動を見せることがあります。岩場を注意深く観察すると、複数個体が集まっている様子が見られるかもしれません。
スザクサラサエビ,Rhynchocinetes durbanensis,琉球列島以南、東南アジア、インド洋,サンゴ礁域,3cm,3m以深,赤と白のまだら模様で、サンゴの枝に隠れています。,スザクサラサエビは赤と白のまだら模様が特徴で、サンゴ礁域の枝や隙間に隠れています。体長は最大3cm程度と小型で、サンゴの間を素早く移動します。警戒心が強く、近づくとサンゴの奥に隠れてしまうため、観察時はゆっくりと近づくことが重要です。サンゴの健康状態を示す指標種としても知られています。
