和名,学名,分布,生息場所,体長,深さ
ツバサハゼ,"Rhyacichthys aspro (Valenciennes, 1837)",屋久島、奄美大島、沖縄島、石垣島、西表島；西部太平洋,河川の渓流域、淵頭付近の岩盤,25cm,0.5m
ドンコ,"Odontobutis obscura (Temminck et Schlegel, 1845)",日本固有：新潟県・愛知県以西の本州、四国、九州；韓国巨済島,河川中流域から渓流域下部の淵、礫底・砂底,20cm,0.6m
イシドンコ,"Odontobutis hikimius Iwata et Sakai, 2002",日本固有：島根県西部と山口県東部の日本海斜面,河川の中流域から渓流域下部、淵の岩の下,10cm,0.5m
ヤエヤマノコギリハゼ,"Butis butis (Bleeker, 1853)",高知県、奄美大島、石垣島、西表島；インド・西太平洋,河川河口域のマングローブ林や感潮域最上流付近、ヒルギ類の根・倒木の根・水没したアダンの葉などの裏側,10cm,0.5m
ジャノメハゼ,"Bostrychus sinensis Lacepède, 1801",奄美大島、沖縄島、石垣島、西表島；インド・太平洋,河川の河口域のマングローブ林やその内陸部の汽水性湿地。昼間は死サンゴ塊や倒木の下、泥底の穴に単独で潜み、夜間活動する,20cm,0.3m
ホシマダラハゼ,"Eleotris fusca (Valenciennes, 1837)",種子島、奄美大島、沖縄島、久米島、宮古島、石垣島、西表島、与那国島；インド・太平洋,主に河川の汽水域や汽水性湿地。淡水域にも入る。倒木や水生植物が多い淀み、マングローブ林内の淀みに多い,45cm,2m
カワアナゴ,"Eleotris oxycephala Temminck et Schlegel, 1845",千葉県・鳥取県～屋久島、瀬戸内海沿岸；東シナ海,河川の汽水域直上の淡水域。主に礫底や砂底のテトラポッド、岩、倒木の陰に単独で見られる,30cm,1m
オカメハゼ,"Eleotris melanosoma Bleeker, 1852",静岡県～西表島；インド・太平洋,河川の河口から感潮域最上流、マングローブ林,15cm,
チチブモドキ,"Eleotris acanthopoma Bleeker, 1853",小笠原諸島、伊豆諸島、千葉県・五島列島～与那国島；インド・西太平洋,岩、礫、死サンゴ塊、倒木、水生植物の陰,15cm,0.5m
テンジクカワアナゴ,"Eleotris fusca (Forster, 1801)",小笠原諸島、静岡県、宮崎県～与那国島；インド・太平洋,河川の感潮域最上流、中流域、渓流域、細流・水田・湿地などの淡水域,20cm,0.5m
タナゴモドキ,"Hypseleotris cyprinoides (Valenciennes, 1837)",和歌山県、高知県、宮崎県、奄美大島、沖縄島、宮古島、石垣島、西表島；インド・太平洋,水田や湿地の溜池や溝、細流の緩流部、河川本流脇の池やワンド、河川中流域の淵、河川の堰堤下。流れが緩やかで岸付近に水生植物や倒木が多いところに群がりで中層を浮遊,8cm,0.5m
タメトモハゼ,Ophieleotris sp. A,種子島、屋久島、琉球列島；インド・西太平洋,河川本流脇の池やワンド、河川中流域の淵、渓流域下部の河岸、細流の緩流部。群がりで浮遊。河川渓流域にも見られる,35cm,0.5m
タメトモハゼ,Ophieleotris aporos,西表島,細流の緩流部,14cm,0.5m
エリトゲハゼ,Bostrychus sinensis,西表島；西部太平洋,河川の渓流域、岩の陰,6cm,0.2m
モンヤナギハゼ,Xenisthmus polyzonatus,慶良間諸島、奄美大島、石垣島、沖縄諸島；インド・太平洋,サンゴ礁域の礁池、死サンゴ片や砂底、死サンゴ塊下,2.5cm,7m
トカゲハゼ,Scartelaos histophorus,沖縄島中城湾；南・東南アジアを中心としたインド・西太平洋,内湾湾奥の軟泥干潟、底の穴、干潟上,8cm,
ムツゴロウ,"Boleophthalmus pectinirostris (Linnaeus, 1758)",有明海、八代海；渤海、黄海、東・南シナ海、台湾,河口に連なる広大な軟泥干潟。底に穴を掘り、干出時には干潟上で活動し、それ以外は生息孔中にすむ,20cm,
トビハゼ,"Periophthalmus modestus Cantor, 1842",東京湾〜種子島、沖縄島、瀬戸内海、有明海；渤海、黄海、東・南シナ海、台湾,内湾の湾奥や河川の河口域の泥干潟。冬は底の穴ですごし、他の季節は干出時に干潟上で活動し、岸辺に這い上がり休息する,10cm,
ミナミトビハゼ,"Periophthalmus argentilineatus Valenciennes, 1837",種子島、屋久島、琉球列島；インド・太平洋,河川の河口付近の海岸から感潮域最上流。とくに河口域の泥干潟や汽水性湿地に多く、干出時に泥面で活動し、それ以外は岸辺に這い上がり休息する,12cm,
ヨロイボウズハゼ,"Sicyopterus zahavati Sakai et Nakamura, 1979",日本固有: 種子島、屋久島、奄美大島、沖縄島、石垣島、西表島,河川の渓流域、淵頭付近の岩盤や転石上,6.5cm,0.2m
アカボウズハゼ,"Sicyopus zosterophorum (Bleeker, 1857)",種子島、屋久島、奄美大島、沖縄島、石垣島、西表島; 西部太平洋,河川の渓流域の淵、中層を遊泳,6cm,0.3m
カエルハゼ,"Sicyopterus japonicus Sakai et Nakamura, 1979",屋久島、石垣島、西表島、与那国島；マリアナ諸島,河口近くに渓流域がある河川の渓流域。やや薄暗いところを好み、流れの緩やかな淵に単独で見られる,6cm,0.3m
ルリボウズハゼ,"Sicyopterus lagocephalus (Pallas, 1770)",小笠原諸島父島、種子島、屋久島、奄美大島、沖縄島、久米島、石垣島、西表島、与那国島；インド・西太平洋,河川の渓流域。流れの速いところを好み、淵尻や瀬頭の岩盤や転石上に群がりで見られる。小・中の滝であれば遡上する,13cm,0.5m
ボウズハゼ,"Sicyopterus japonicus (Tanaka, 1909)",小笠原諸島、福島県・兵庫県日本海側～西表島；韓国、台湾,河川の渓流域。流れの速いところを好み、淵尻や瀬頭の岩盤や転石上に群がりで見られる。小・中の滝であれば遡上し、その上流にも見られる。,20cm,0.2〜0.5m
ナンヨウボウズハゼ,"Sicyopterus macrostetholepis Wilson et Chen, 1998",小笠原諸島、静岡県、高知県、宮崎県、鹿児島県、種子島、屋久島、琉球列島；台湾、グァム、パラオ,河川の中流域や渓流域。流れの緩やかなところを好み、淵や平瀬の転石上に見られ、中層を泳いで移動する。,5cm,0.2〜0.3m
コンテリボウズハゼ,Stiphodon ornatus,種子島、屋久島、奄美大島、沖縄島、石垣島、西表島；台湾、マレーシア、フィリピン,河川の渓流域、流れの緩やかな淵や平瀬の転石上,6cm,0.3m
カキイロヒメボウズハゼ,"Stiphodon atropurpureus Watson et Kottelat, 1995",屋久島；フィリピン,河川の渓流域。流れの緩やかな淵の転石上,2.5cm,0.3m
シラスキバハゼ,"Pariotogobius amplexicollis Iwata, Hosoya et Larson, 2001",沖縄島、西表島；タイ、オーストラリア北東海岸,内湾湾奥の軟泥底や泥底の穴,2.1cm,10m
ミミズハゼ,"Luciogobius guttatus Gill, 1859",北海道の太平洋側・日本海側～屋久島、瀬戸内海沿岸、隠岐、壱岐、対馬、五島列島；朝鮮半島、渤海、黄海、東シナ海、台湾、沿海州,河川の汽水域から下流域、淡水の影響のある海岸の潮間帯。礫下や間に潜む。,8cm,0.5m
オオミミズハゼ,"Luciogobius grandis Arai, 1970",青森県～高知県・長崎県、佐渡島、対馬；朝鮮半島,外海に面した岩礁性海岸や転石海岸の潮間帯。転石間に見られる。,11cm,0.5m
ヒモハゼ,"Eutaeniichthys gilli Jordan et Snyder, 1901",青森県の太平洋・日本海側～九州、瀬戸内海沿岸、対馬、五島列島；朝鮮半島、渤海、黄海,河口や河口域の干潟、前浜干潟。砂底や砂泥底に掘られたアナジャコやカニ類の生息孔で見られる。,6cm,0.7m
