和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
ツバサハゼ,"Rhyacichthys aspro (Valenciennes, 1837)",屋久島、奄美大島、沖縄島、石垣島、西表島；西部太平洋,河川の渓流域、淵頭付近の岩盤,25cm,0.5m,茶褐色の体に黒い斑点が特徴。河川の渓流域で岩盤に張り付くようにして生息しており、水流が強い場所で見られる。,茶褐色の体に黒い斑点が散りばめられたツバサハゼは、河川の渓流域で岩盤に張り付くようにして生息しています。水深が浅い場所にいることが多く、水流が強い環境を好むため、淵頭付近の岩盤を注意深く観察すると見つけられます。体長は最大25cmと大型で、岩の隙間に隠れる習性があります。撮影時は流れに逆らって泳ぐ姿を狙うとダイナミックな写真が撮れます。
ドンコ,"Odontobutis obscura (Temminck et Schlegel, 1845)",日本固有：新潟県・愛知県以西の本州、四国、九州；韓国巨済島,河川中流域から渓流域下部の淵、礫底・砂底,20cm,0.6m,褐色の体に不規則な暗色斑があり、河川中流域の礫底や砂底でじっとしていることが多い。,ドンコは褐色の体に不規則な暗色斑が特徴で、河川中流域から渓流域下部の淵で見られます。礫底や砂底にじっとしていることが多く、動きが遅いため観察しやすいです。最大20cmまで成長し、夜行性の傾向があります。撮影時はゆっくり近づき、背景に自然な川底の景色を入れると良いでしょう。日本固有種で、地域によって体色のバリエーションが異なることがあります。
イシドンコ,"Odontobutis hikimius Iwata et Sakai, 2002",日本固有：島根県西部と山口県東部の日本海斜面,河川の中流域から渓流域下部、淵の岩の下,10cm,0.5m,小さな体に黒い斑点が目立ち、河川の淵の岩の下に隠れていることが多い。,イシドンコは最大10cmほどの小さなハゼで、黒い斑点が体全体に散らばっています。河川の中流域から渓流域下部の淵に生息し、岩の下に隠れていることが多いです。日本固有種で、島根県西部と山口県東部の日本海斜面に限定された分布を示します。観察時は岩をそっと動かすと見つけられることがありますが、驚かせないように注意が必要です。マクロレンズで撮影すると斑点の模様がよくわかります。
ヤエヤマノコギリハゼ,"Butis butis (Bleeker, 1853)",高知県、奄美大島、石垣島、西表島；インド・西太平洋,河川河口域のマングローブ林や感潮域最上流付近、ヒルギ類の根・倒木の根・水没したアダンの葉などの裏側,10cm,0.5m,褐色の体に不規則な模様があり、マングローブ林のヒルギ類の根や倒木の陰に潜む。,ヤエヤマノコギリハゼは褐色の体に不規則な模様があり、マングローブ林や河川河口域のヒルギ類の根、倒木の陰に潜んでいます。体長は最大10cmほどで、水没したアダンの葉の裏側などにも隠れています。観察時はそっと近づき、根や葉の裏をチェックすると見つけられます。インド・西太平洋に広く分布し、高知県や琉球列島で確認されています。撮影時は自然なマングローブの環境を背景に入れると良いでしょう。
ジャノメハゼ,"Bostrychus sinensis Lacepède, 1801",奄美大島、沖縄島、石垣島、西表島；インド・太平洋,河川の河口域のマングローブ林やその内陸部の汽水性湿地。昼間は死サンゴ塊や倒木の下、泥底の穴に単独で潜み、夜間活動する,20cm,0.3m,黒褐色の体に蛇の目模様があり、昼間は死サンゴ塊や倒木の下に単独で潜んでいる。,ジャノメハゼは黒褐色の体に蛇の目模様が特徴で、昼間は死サンゴ塊や倒木の下、泥底の穴に単独で潜んでいます。夜行性で、夜間に活動します。最大20cmまで成長し、奄美大島や沖縄島などのマングローブ林で見られます。観察時は静かに近づき、隠れ家になりそうな場所を重点的に探すのがコツです。インド・太平洋に広く分布し、汽水域から淡水域まで適応力が高いです。
ホシマダラハゼ,"Eleotris fusca (Valenciennes, 1837)",種子島、奄美大島、沖縄島、久米島、宮古島、石垣島、西表島、与那国島；インド・太平洋,主に河川の汽水域や汽水性湿地。淡水域にも入る。倒木や水生植物が多い淀み、マングローブ林内の淀みに多い,45cm,2m,大型で黒褐色の体に白い斑点があり、マングローブ林の倒木や水生植物の陰に隠れる。,ホシマダラハゼは最大45cmにもなる大型のハゼで、黒褐色の体に白い斑点が散らばっています。マングローブ林や汽水性湿地の倒木、水生植物が多い淀みに生息し、淡水域にも進入します。観察時は大きな倒木の陰や水草の茂みを注意深くチェックすると見つけられます。インド・太平洋に広く分布し、琉球列島では普通種です。撮影時は広角レンズで環境ごと写し込むと迫力のある写真が撮れます。
カワアナゴ,"Eleotris oxycephala Temminck et Schlegel, 1845",千葉県・鳥取県～屋久島、瀬戸内海沿岸；東シナ海,河川の汽水域直上の淡水域。主に礫底や砂底のテトラポッド、岩、倒木の陰に単独で見られる,30cm,1m,灰色がかった体で頭部が尖っており、河川の淡水域でテトラポッドや岩の陰に単独でいる。,カワアナゴは灰色がかった体で頭部が尖った特徴的な体型をしています。河川の汽水域直上の淡水域に生息し、テトラポッドや岩、倒木の陰に単独で見られます。最大30cmまで成長し、千葉県から屋久島まで広く分布しています。観察時は流れの緩やかな場所の障害物周りを重点的に探すと良いでしょう。東シナ海にも分布し、地域によって体色の濃さが異なることがあります。
オカメハゼ,"Eleotris melanosoma Bleeker, 1852",静岡県～西表島；インド・太平洋,河川の河口から感潮域最上流、マングローブ林,15cm,,黒っぽい体色で、河川の河口からマングローブ林にかけて見られる。,オカメハゼは全体的に黒っぽい体色で、河川の河口から感潮域最上流、マングローブ林に生息しています。最大15cmほどで、静岡県から西表島まで広く分布していますが、個体数は多くありません。観察時はマングローブの根元や流れの緩やかな場所を探すと見つけられます。インド・太平洋に広く分布し、他のハゼ類と混生することもあります。撮影時は暗い背景を避け、適度な光量で撮ると体の質感がよくわかります。
チチブモドキ,"Eleotris acanthopoma Bleeker, 1853",小笠原諸島、伊豆諸島、千葉県・五島列島～与那国島；インド・西太平洋,岩、礫、死サンゴ塊、倒木、水生植物の陰,15cm,0.5m,褐色の体に小さな黒点が散らばり、岩や倒木の陰に隠れていることが多い。,チチブモドキは褐色の体に小さな黒点が散らばっており、岩や礫、死サンゴ塊、倒木の陰に隠れています。最大15cmほどで、小笠原諸島から与那国島まで広く分布しています。観察時は障害物の陰をそっと覗き込むと見つけられます。インド・西太平洋に広く分布し、昼間はあまり動き回らないため撮影しやすいです。マクロレンズで撮ると黒点の模様がくっきり写ります。
テンジクカワアナゴ,"Eleotris fusca (Forster, 1801)",小笠原諸島、静岡県、宮崎県～与那国島；インド・太平洋,河川の感潮域最上流、中流域、渓流域、細流・水田・湿地などの淡水域,20cm,0.5m,茶褐色の体で、河川の細流や水田、湿地などの淡水域に生息する。,テンジクカワアナゴは茶褐色の体で、河川の感潮域最上流から中流域、渓流域、さらには細流や水田、湿地などの淡水域まで広く生息しています。最大20cmほどで、小笠原諸島から与那国島まで分布しています。観察時は流れの緩やかな場所の岸辺を重点的に探すと見つけられます。インド・太平洋に広く分布し、環境適応力が高い種類です。撮影時は自然な淡水環境を背景に入れると良いでしょう。
