和名,学名,分布,生息場所,体長,深さ
ネコザメ,Heterodontus japonicus,南日本の太平洋岸、琉球列島、小笠原諸島；朝鮮半島、中国、台湾,大陸棚の浅瀬、岩場や藻場域,80cm,30m
ジンベエザメ,Rhincodon typus,全世界の温・熱帯域,沿岸域及び外洋,5m,水面下
トラフザメ,Stegostoma fasciatum,南日本の太平洋岸、琉球列島；インド・西太平洋,サンゴ礁域、海底,2.5m,3m
オオテンジクザメ,Nebrius ferrugineus,琉球列島；インド・太平洋,サンゴ礁域、着底,2.5m,15m
オオセ,Orectolobus japonicus,能登半島、房総半島以南～琉球列島；西部太平洋,サンゴ礁、岩場,2m,25m
シロワニ,Carcharias taurus,相模湾以南〜琉球列島、小笠原諸島；東部太平洋を除く世界の温・熱帯域,浅海域や水深200m前後のサンゴ礁域、岩礁,2.5m,7m
ニタリ,Alopias pelagicus,南日本の太平洋岸、伊豆諸島、琉球列島；インド・汎太平洋外洋域,外洋域、まれに沿岸域,2.5m,25m
ナヌカザメ,Cephaloscyllium umbratile,北海道南部以南、南日本：東シナ海、台湾、ニュージーランド,水深18〜220mの岩または砂底,1.5m,30m
ネムリブカ,Triaenodon obesus,小笠原諸島、琉球列島：インド・太平洋,サンゴ礁域などの浅海、岩穴やサンゴの下,1.5m,7m
ツマジロ,Carcharhinus albimarginatus,琉球列島；インド・汎太平洋,外洋の島周り、サンゴ礁内や浅所,2.7m,20m
ガラパゴスザメ,Carcharhinus galapagensis,八丈島、小笠原諸島父島；全世界の熱帯・亜熱帯域,海洋島付近、海の中層から表層,2.5m,30m
ツマグロ,Carcharhinus melanopterus,南日本の太平洋岸、琉球列島；インド・太平洋、地中海（溝入）,サンゴ礁付近の浅場、稀に沖合い,2m,15m
アカシュモクザメ,Sphyrna lewini,南日本の太平洋岸、琉球列島；世界の温帯～熱帯海域,水面～水深280mの沿岸域、近海や河口,2.5m,20m
カスザメ,Squatina japonica,北海道以南；朝鮮半島、中国北部,水深100m前後の砂泥底,1.2m,25m
サカタザメ,Rhinobatos schlegelii,南日本の太平洋岸、八丈島、琉球列島；南シナ海、アラビア海,砂泥底、砂中に潜っている,80cm,17m
ウチワザメ,Platyrhina tangi,南日本、八丈島；東シナ海、南シナ海,沿岸の岩礁に近い砂底、砂中に潜っている,60cm,15m
シビレエイ,Narke japonica,南日本、琉球列島；東シナ海、南シナ海,大陸棚、砂底,35cm,25m
ヒラタエイ,Urolophus aurantiacus,南日本、八丈島、琉球列島；東シナ海,大陸棚砂底域,30cm,30m
アカエイ,Hemitrygon akajei,南日本；渤海、黄海、東シナ海、南シナ海,浅海の砂底,60cm,12m
イズヒメエイ,Hemitrygon izuensis,房総半島、伊豆半島、高知県以布利沿岸浅域,沿岸浅域,60cm,12m
ヤッコエイ,Neotrygon kuhlii,北海道以南、南日本、琉球列島、小笠原諸島；インド・西太平洋,サンゴ礁周辺の砂底、島嶼周辺の砂底,50cm,15m
マダラエイ,Taeniurops meyeni,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・西太平洋,サンゴ礁周辺の砂底,1.5m,25m
ツカエイ,Pastinachus sephen,琉球列島；インド・西太平洋,亜熱帯から熱帯の沿岸域、汽水・淡水域,1.8m,20m
オニイトマキエイ,Manta birostris,青森県、相模湾以南の黒潮流域、琉球列島、小笠原諸島；全世界の熱帯～温帯域,,3m,4m
ナンヨウマンタ,Manta alfredi,高知県、琉球列島；インド・太平洋、東部大西洋,,2.5m,25m
マダラトビエイ,Aetobatus ocellatus,和歌山県以南の南日本太平洋岸、琉球列島、小笠原諸島；全世界の温・熱帯域,サンゴ礁や岩礁域、表層から底層,1.8m,25m
トビエイ,Myliobatis tobijei,北海道以南、南日本；南シナ海沿岸の浅海域,海底、浅海域,90cm,15m
ハナヒゲウツボ,Rhinomuraena quaesita,和歌山県以南の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域の浅所、砂礫底や岩の穴,60cm,10m
クモウツボ,Echidna nebulosa,伊豆・小笠原諸島、高知県以南の南日本の太平洋岸、琉球列島；インド・太平洋サンゴ礁域の浅所,サンゴ礁域の浅所,80cm,13m
コケウツボ,Enchelycore lichenosa,高知県までの南日本の太平洋岸、伊豆・小笠原諸島；台湾、ガラパゴス諸島,沿岸岩礁域,70cm,15m
トラウツボ,Enchelycore pardalis,南日本の太平洋岸、伊豆・小笠原諸島；インド・太平洋,沿岸岩礁域,80cm,20m
ハワイウツボ,Gymnothorax berndti,南日本の太平洋岸、琉球列島；インド・太平洋,沿岸や沖合いのやや深所（水深250mまで）,80cm,30m
ワカウツボ,Gymnothorax meleagris,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・汎太平洋,温帯の沿岸岩礁域〜亜熱帯のサンゴ礁域,80cm,12m
ヘリゴイシウツボ,Gymnothorax fimbriatus,八丈島、高知県以南～琉球列島；インド・太平洋（ハワイを除く）,サンゴ礁域の浅所,80cm,10m
ゴマウツボ,Gymnothorax flavimarginatus,八丈島、高知県柏島、屋久島、琉球列島；インド・汎太平洋,サンゴ礁域の浅所,1.2m,10m
ドクウツボ,Gymnothorax javanicus,琉球列島；インド・太平洋,サンゴ礁域の浅所,80cm,12m
ニセゴイシウツボ,Gymnothorax isingteena,八丈島、南日本の太平洋岸、琉球列島；インド・西太平洋,内湾、岩礁、サンゴ礁の浅所から深み（水深100m前後）,1.2m,15m
ウツボ,Gymnothorax kidako,南日本、伊豆・小笠原諸島、琉球列島；台湾、フィリピン、ハワイ,沿岸岩礁域,1m,10m
ハナビラウツボ,Gymnothorax chlorostigma,和歌山県、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域の浅所,1m,10m
アデウツボ,Gymnothorax nudivomer,南日本の太平洋岸、八丈島、琉球列島；インド・太平洋,サンゴ礁域のやや深所（水深100m前後）,1.2m,15m
アミウツボ,Gymnothorax minor,南日本、琉球列島；インド・西太平洋,沿岸のやや深所（水深100m前後）,50cm,12m
モバウツボ,Gymnothorax richardsonii,沖縄島、西表島；インド・太平洋,サンゴ礁域の藻場、内湾域の藻場,40cm,10m
サビウツボ,Gymnothorax thyrsoideus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の浅所,60cm,10m
ナミウツボ,Gymnothorax undulatus,和歌山県以南の南日本の太平洋岸、琉球列島；インド・汎太平洋,サンゴ礁域,1m,10m
ヒレオビウツボ,Gymnothorax zonipectis,高知県柏島、琉球列島；インド・太平洋,沿岸岩礁域、サンゴ礁域,40cm,8m
ゼブラウツボ,Gymnomuraena zebra,八丈島、琉球列島；インド・太平洋,サンゴ礁の浅所、穴の中,80cm,12m
モヨウキカイウツボ,Scuticaria tigrina,八丈島、口之永良部島、沖縄諸島；インド・汎太平洋,サンゴ礁域,1m20cm,10m
モヨウモンガラドオシ,Myrichthys maculosus,伊豆半島以南～高知県；インド・太平洋,砂礫底,,
