和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
ネコザメ,Heterodontus japonicus,南日本の太平洋岸、琉球列島、小笠原諸島；朝鮮半島、中国、台湾,大陸棚の浅瀬、岩場や藻場域,80cm,30m,茶褐色に黒い縞模様が特徴の小型サメ。平たい頭と太い体で、海底でじっとしていることが多い。,ネコザメは茶褐色の体に黒い縞模様が入り、平たい頭と太い体型が特徴的な小型サメです。体長は約80cmで、海底の岩場や藻場に潜んでじっとしていることが多く、ゆっくりと泳ぎ回ります。ダイビングでは、浅瀬の岩陰や砂地を注意深く探すと発見できます。撮影時はそのユニークな模様と穏やかな性格が魅力で、近づいても逃げないことが多いです。面白いことに、ネコザメは卵を産む種類で、螺旋状の卵殻を岩の隙間に産み付けます。ダイバーにとっては比較的安心して観察できるサメの一種です。
ジンベエザメ,Rhincodon typus,全世界の温・熱帯域,沿岸域及び外洋,5m,水面下,巨大な体に白い斑点が特徴のジンベエザメ。優雅に泳ぐ姿は圧巻で、ダイバーにも人気。,ジンベエザメは、灰色の体に白い斑点が散りばめられた独特の模様が特徴で、最大で12m以上にも成長する世界最大の魚です。温帯から熱帯の海域に広く分布し、プランクトンや小魚を濾過摂食します。ダイビングでは、沿岸域や外洋の表層で群れをなして泳ぐ姿が観察でき、特に餌付けスポットでは間近で見られることも。写真撮影では、その巨大さと模様のコントラストが映え、水中カメラマンにも人気です。ジンベエザメは性格が穏やかで、ダイバーが近づいても逃げないことが多いため、初心者でも安心して観察できます。面白いエピソードとして、個体ごとに斑点のパターンが異なるため、研究者はこれを使って個体識別を行っています。ダイバー目線では、ジンベエザメと一緒に泳ぐ体験は一生の思い出になること間違いなしです。
トラフザメ,Stegostoma fasciatum,南日本の太平洋岸、琉球列島；インド・西太平洋,サンゴ礁域、海底,2.5m,3m,黄色っぽい体に黒い斑点がある、細長い尾が特徴のサメ。海底でゆっくり泳ぎ、のんびりした姿が印象的。,トラフザメは、黄色がかった体に黒い斑点が散らばる美しいサメで、細長い尾が特徴的です。体長は最大で2.5mほどになり、海底近くをゆっくりと泳ぎ回ります。サンゴ礁域や砂底を好み、日中は岩陰や洞窟で休んでいることが多いです。ダイビングでは、浅瀬（3mほど）でも観察できるため、初心者にもおすすめ。撮影時は、その独特な模様と優雅な動きが魅力で、近づいても比較的おとなしいため、じっくり観察できます。面白いエピソードとして、幼魚期は黒地に白い縞模様で、成魚になるにつれて斑点に変化します。ダイバー目線では、のんびりとした泳ぎ方と愛嬌ある顔つきが人気で、ぜひ探してみてください。
オオテンジクザメ,Nebrius ferrugineus,琉球列島；インド・太平洋,サンゴ礁域、着底,2.5m,15m,茶褐色の細長い体に白い斑点があり、砂地でじっとしていることが多い。口は小さく、のんびり泳ぐ姿が特徴的。,オオテンジクザメは茶褐色の体に不規則な白い斑点が散らばり、細長い体型が特徴です。全長約2.5mで、砂地やサンゴ礁の底に横たわっていることが多く、夜行性のため日中は動きがゆっくりです。口は小さく、主に甲殻類や小魚を捕食します。ダイビングでは、砂地の開けた場所を探すと見つけやすく、接近してもあまり逃げないため、写真撮影に最適です。面白いことに、呼吸のため口を開けて水流を作る様子が観察でき、のんびりとした動きがダイバーに人気です。
オオセ,Orectolobus japonicus,能登半島、房総半島以南～琉球列島；西部太平洋,サンゴ礁、岩場,2m,25m,茶褐色の体に不規則な斑模様とヒダ状の皮弁が特徴。海底でじっとしていることが多く、見つけにくいが、大きな口と太い体形で識別できる。,オオセは茶褐色の体に不規則な斑模様を持ち、頭部から体側にかけてヒダ状の皮弁が多数あるのが特徴です。体長は最大2mに達し、太い体形と大きな口が目立ちます。サンゴ礁や岩場の海底でじっとしていることが多く、擬態が巧みなため見つけにくいです。ダイビングでは、岩陰やサンゴの隙間を注意深く観察すると、時に複数個体が集まっている様子が見られます。写真撮影では、そのユニークな模様と皮弁の質感が魅力的で、自然光とストロボを組み合わせると美しく映えます。豆知識として、オオセは「カスザメ」の一種で、夜行性のため昼間はあまり動きませんが、夜間に餌を求めて活発に泳ぎ回ります。ダイバーは、日中にじっとしている姿と夜間の活動的な姿のギャップを観察できると興味深いでしょう。
シロワニ,Carcharias taurus,相模湾以南〜琉球列島、小笠原諸島；東部太平洋を除く世界の温・熱帯域,浅海域や水深200m前後のサンゴ礁域、岩礁,2.5m,7m,太い体に小さな目と鋭い歯が特徴のサメ。背面は灰色で腹側は白く、ゆったりとした泳ぎで海底近くを移動する。,シロワニは太く頑丈な体に小さな目と鋭い歯を持つサメで、背面は灰色、腹側は白色のコントラストがはっきりしています。体長は約2.5mで、浅海域やサンゴ礁域、岩礁を好み、水深7m付近でも観察できます。ゆったりとした泳ぎで海底近くを移動し、時折砂地に横たわる姿も見られます。ダイビングでは、岩陰や洞窟の入り口付近を探すと遭遇しやすく、警戒心が強いため静かに近づくのがポイントです。写真撮影では、その独特の体型と歯のディテールが魅力で、光の角度を変えると背面の灰色が青みがかって見えることも。面白いエピソードとして、シロワニは「のんびり屋」と呼ばれるほど動作が遅く、ダイバーに興味を示すこともありますが、基本的には人を襲うことは稀です。ダイバー目線では、その存在感と優雅な泳ぎが水中での出会いを特別なものにしてくれます。
ニタリ,Alopias pelagicus,南日本の太平洋岸、伊豆諸島、琉球列島；インド・汎太平洋外洋域,外洋域、まれに沿岸域,2.5m,25m,細長い尾ビレが特徴のサメ。背中は青灰色で、体はスリム。外洋を優雅に泳ぐ姿が見られる。,ニタリは、長く伸びた尾ビレ（上葉）が最大の特徴で、体長の半分以上にも達することがある。背中は青灰色で、腹部は白く、体は流線形でスリム。外洋を好み、単独または小さな群れで泳ぐことが多い。ダイビングでは、沖合いのブルーウォーターで遭遇する機会があり、優雅に泳ぐ姿は圧巻。撮影時は、尾ビレの独特な形状と光を反射する体表が映える。面白い生態として、尾ビレで魚群を叩き、気絶させた獲物を食べることが知られている。
ナヌカザメ,Cephaloscyllium umbratile,北海道南部以南、南日本：東シナ海、台湾、ニュージーランド,水深18〜220mの岩または砂底,1.5m,30m,茶褐色の体に不規則な暗色斑模様が特徴。平たい頭と太い体で、海底でじっとしていることが多い。,ナヌカザメは茶褐色の体に不規則な暗色斑模様が特徴で、平たい頭と太い体が目を引く。水深30mほどの岩場や砂底でじっとしていることが多く、動きはゆっくりで観察しやすい。ダイビング中は海底近くを注意深く探すと、砂に半分埋もれた状態で見つかることがある。撮影時はその独特な模様と、のんびりとした姿が魅力。捕食時には獲物を飲み込む際に海水を吸い込み、体を膨らませる習性がある。ダイバーに人気の生物で、比較的安全に観察できる点も嬉しい。
ネムリブカ,Triaenodon obesus,小笠原諸島、琉球列島：インド・太平洋,サンゴ礁域などの浅海、岩穴やサンゴの下,1.5m,7m,灰色の体に白い斑点が特徴のサメ。平たい頭と細長い体で、岩穴で休む姿がよく見られる。,ネムリブカは灰色の体に白い斑点が散らばる美しいサメで、平たい頭と細長い体が特徴です。サンゴ礁域や岩穴に潜んでおり、日中はじっと休んでいることが多いです。ダイビングでは岩陰やサンゴの下を注意深く探すと見つけられます。撮影時はその独特な斑点模様と穏やかな性格が魅力で、近づいても逃げないことが多いです。面白いエピソードとして、地元のダイバーからは『寝ているように見える』ことから『ネムリブカ』と名付けられたと言われています。
ツマジロ,Carcharhinus albimarginatus,琉球列島；インド・汎太平洋,外洋の島周り、サンゴ礁内や浅所,2.7m,20m,ツマジロは、背びれの先端が白いのが特徴のサメ。銀灰色の体に白い縁取りが目立ち、ゆったりと泳ぐ姿が観察しやすい。,ツマジロは、背びれと尾びれの先端がはっきりとした白色に縁取られていることからその名が付いた。体色は銀灰色で、スマートな流線型の体が特徴。外洋の島周りやサンゴ礁の浅所に生息し、単独または小群でゆったりと泳ぐ姿が見られる。ダイビングでは、潮通しの良いドロップオフやリーフの外側で遭遇する機会が多い。撮影時は、白い縁取りが光に反射して美しく映えるため、サイドからアプローチすると良い。面白いことに、ツマジロは好奇心が強く、ダイバーをじっと見つめることもある。体長は最大2.7mに達するが、人に対して攻撃的ではないため、落ち着いて観察できる。
ガラパゴスザメ,Carcharhinus galapagensis,八丈島、小笠原諸島父島；全世界の熱帯・亜熱帯域,海洋島付近、海の中層から表層,2.5m,30m,銀灰色の流線型ボディに白いお腹。背びれが大きく、優雅に泳ぐ姿が特徴。中層をゆったりと回遊する。,ガラパゴスザメは銀灰色の背中と白い腹部を持つ流線型のサメで、全長約2.5mに達します。背びれが大きく、先端がやや丸みを帯びているのが特徴です。中層から表層を優雅に泳ぎ、好奇心旺盛でダイバーに近づくこともあります。観察のポイントは、海流が強い場所や海底のドロップオフ付近で、群れで行動することが多いです。写真撮影では、その美しいシルエットと光を反射する体が魅力。豆知識として、和名はガラパゴス諸島で最初に記録されたことに由来しますが、日本近海でも八丈島や小笠原諸島で見られます。ダイバーにとっては、比較的温和な性質で、迫力ある姿を間近で観察できる貴重な機会です。
ツマグロ,Carcharhinus melanopterus,南日本の太平洋岸、琉球列島；インド・太平洋、地中海（溝入）,サンゴ礁付近の浅場、稀に沖合い,2m,15m,背ビレと尾ビレの先端が黒く、全体的に灰色がかった体色が特徴のサメ。浅いサンゴ礁周辺でゆったり泳ぐ姿が見られる。,ツマグロは、背ビレと尾ビレの先端が黒く縁取られた特徴的な見た目を持つサメです。体色は灰色がかった茶色で、腹部は白っぽくなっています。サンゴ礁付近の浅場に生息し、単独または小さな群れでゆったりと泳ぐ姿が観察されます。ダイビングでは、サンゴ礁の縁やラグーンの浅瀬で出会うことが多く、比較的おとなしい性質のため、初心者ダイバーでも安心して観察できます。撮影時には、背ビレの黒い縁取りを強調すると、印象的な写真が撮れるでしょう。豆知識として、ツマグロは好奇心が強く、ダイバーをじっと見つめることがありますが、基本的に攻撃性は低いとされています。
アカシュモクザメ,Sphyrna lewini,南日本の太平洋岸、琉球列島；世界の温帯～熱帯海域,水面～水深280mの沿岸域、近海や河口,2.5m,20m,ハンマーのような独特な頭部が特徴。背面は灰褐色で、腹側は白っぽい。群れで泳ぐ姿がよく見られる。,アカシュモクザメは、ハンマー状に広がった頭部（セファロフォイル）が最大の特徴で、これにより視野が広く獲物を探しやすい。体色は背面が灰褐色で、腹側は白っぽく、側面にはやや不明瞭な横縞模様が見られることがある。体長は約2.5mで、群れを形成して泳ぐ習性があり、特に日中は浅瀬やサンゴ礁周辺で観察されることが多い。ダイビングでは、水中地形の変化点や潮流が合流する場所で遭遇しやすい。写真撮影では、そのユニークな頭部と優雅な泳ぎを捉えると迫力のあるショットが得られる。豆知識として、頭部の形状は電気受容器官（ロレンチーニ瓶）を拡大し、海底の獲物を感知するのに役立つと考えられている。ダイバーにとっては、群れで泳ぐ姿や突然の方向転換など、動きの観察が楽しい生物である。
