id,name,scientific_name,distribution,habitat,size,depth_range,description
3770,アイゴ,Siganus fuscescens,下北半島、南日本、伊豆諸島、琉球列島；朝鮮半島、東部インド洋～西部太平洋の熱帯域,岩礁域やサンゴ礁域、岩礁の浅場,全長約25cm,6m,ニザダイなどに近い仲間で、背ビレや腹ビレの棘に毒を持つことで知られています。主に海藻を食べる草食性で、サンゴ礁や岩礁域で大きな群れを作り、海底をつつきながら食事をします。ダイバーが近づいてもあまり逃げませんが、毒を持つヒレには触れないよう注意が必要です。夜間は岩陰などで休みます。
5275,アイスズメダイ,Stegastes obreptus,琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域や岩礁域の水深1～6m,全長約15cm,2m,スズメダイの仲間で、非常に強い縄張り意識を持つ魚です。岩や死んだサンゴの周りに縄張りを持ち、生えてくる藻類を餌にしています。自分より大きな魚やダイバーに対しても、勇敢に突進して追い払おうとします。幼魚は体に鮮やかな青い点があり美しいですが、成魚になると黒っぽい地味な体色に変化します。
10821,アイナメ,Hexagrammos otakii,北海道以南、南日本：朝鮮半島南部、黄海,浅海の岩礁域,全長約35cm,20m,カサゴなどに近い仲間で、日本の沿岸でよく見られる底生魚です。岩礁や海藻の間に隠れており、周囲の環境に溶け込む保護色のため見つけにくいことがあります。単独で行動し、甲殻類や小魚を捕食します。繁殖期のオスは美しい黄色の婚姻色に変わり、卵塊を外敵から守る姿が観察されることもあります。
2340,アオイソハゼ,Eviota prasites,小笠原諸島、紀伊半島、徳島県、愛媛県宇和海、高知県柏島、琉球列島、中・西部太平洋,サンゴ礁域の浅所、サンゴの周辺やガレ場,全長約3cm,8m,サンゴ礁に生息する非常に小さなハゼの仲間。透明感のある体に赤い斑点が散らばるのが特徴です。主に枝状サンゴの隙間や表面で生活し、数匹の小さな群れでホバリングするように泳いでいます。危険を感じるとすぐにサンゴの奥に隠れてしまうため、観察するにはゆっくりと驚かせないように近づくことが重要です。
2321,アオギハゼ,Trimma caudomaculatum,八丈島、紀伊半島、高知県、琉球列島；台湾,サンゴ礁域、崖のオーバーハングの下や亀裂の入口など,全長約3cm,10m,岩のオーバーハングや洞窟の天井を好む、小型のハゼの仲間。逆さまに張り付いて生活するという特徴的な習性を持っています。オレンジ色の体に青いラインが入り、尾びれの付け根にある大きな黒い斑点が目印です。ライトを当てると美しく輝くため、暗がりを探す際の楽しみの一つとなる魚です。
528,アオサハギ,Brachaluteres ulvarum,南日本の太平洋岸、伊豆大島岩礁域やアマモ場,岩礁域やアマモ場、海藻やウミトサカ類などのそばで生息、25m以浅,全長約3cm,18m,カワハギの仲間で、非常に小さい体が特徴です。名前の通り、アオサなどの海藻によく擬態しており、海藻が茂る場所で体を揺らして隠れています。見つけるには、海藻をじっくりと観察する必要があります。フグのように体を膨らませて威嚇することもあります。動きはゆっくりで、観察しやすい魚です。
6065,アオスジエビス,Sargocentron tiere,琉球列島、 小笠原諸島； インド・太平洋,サンゴ礁域、 岩の陰,全長約25cm,15m,イットウダイの仲間で、赤い体に走る青い縦縞が美しい魚です。夜行性のため、日中は岩の隙間や洞窟の奥に隠れていることがほとんどです。ナイトダイビングでは、活発に泳ぎ回り、甲殻類などを探す姿を観察できます。大きな目が特徴で、暗い場所でも獲物を見つけるのに役立っています。
5563,アオスジオグロベラ,Pseudojuloides severnsi,南日本の太平洋岸、琉球列島；フィリピン、インドネシア、スリランカ,岩礁やサンゴ礁域、礁外縁の潮通しのよいガレ場,全長約8cm,23m,ベラの仲間で、特にオスの鮮やかな体色がダイバーに人気です。オスは緑色の体に青い筋模様が入りますが、メスは赤みがかった地味な体色をしています。ガレ場や砂礫底のやや深い場所に生息し、危険を感じると素早く砂の中に潜って隠れます。小さな群れを作って泳ぎ回っていることが多いです。
408,アオスジスズメダイ,Chrysiptera caeruleolineata,南日本の太平洋岸、八丈島、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の25m以深、礁斜面のガレ場,全長約4cm,30m,スズメダイの仲間で、やや深いサンゴ礁のドロップオフなどで見られます。名前の通り、体の側面を走る一本の鮮やかな青いラインが最大の特徴です。このラインは光の角度によって輝きを変えます。単独か小さな群れで行動し、岩の陰に隠れていることも多いので、崖の壁面などを注意深く探すと見つかります。
2492,アオスジテンジクダイ,Ostorhinchus aureus,南日本の太平洋岸、八丈島、三宅島、琉球列島；インド・西太平洋沿岸,岩穴やテーブル状のサンゴの下,全長約7cm,15m,テンジクダイの仲間で、金色に輝く体と青い筋模様が特徴です。サンゴの枝の間や岩陰に大きな群れを作って隠れています。昼間はあまり動かず、群れでじっとしていますが、夜になると活動的になります。繁殖期にはオスが口の中で卵を守る「口内保育」を行うため、口が大きく膨らんだ個体が見られることもあります。
11930,アオスジモンガラ,Xanthichthys caeruleolineatus,伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁外縁の50m以深,全長約25cm,20m,モンガラカワハギの仲間で、他の多くのモンガラ類と異なり、沖合に面したドロップオフなどの中層を泳ぎます。青みがかった体に、名前の由来となった青いラインが目の下から胸ビレにかけて入るのが特徴です。動物プランクトンを食べるため、潮通しの良い場所でホバリングしている姿が観察されます。
14322,アオチビキ,Aprion virescens,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、潮通しのよい場所,全長約60cm,20m,フエダイなどに近い仲間で、力強い紡錘形の体を持つ大型の魚です。サンゴ礁域の外縁やドロップオフ沿いの中層を、単独または数匹で泳ぎ回ります。全身が青みがかった緑色で、特に目立った模様はありません。小魚や甲殻類を捕食するどう猛なハンターで、ダイバーの横を高速で通り過ぎていくこともあります。
192,アオノメハタ,Cephalopholis argus,高知県柏島、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁の浅所,全長約30cm,10m,ハタの仲間で、茶色い体に散らばる鮮やかな青い斑点が名前の由来です。サンゴ礁や岩礁の岩陰に潜み、縄張りを作って生活しています。小魚や甲殻類を食べる肉食魚で、獲物が近づくと素早く飛び出して捕らえます。ダイバーが近づくと警戒して岩陰に隠れてしまいますが、少し待つと再び顔を出すことが多いです。
2313,アオハチハゼ,Valenciennea randalli,琉球列島；西部太平洋,サンゴ礁域の砂底,全長約10cm,10m,砂地に生息するハゼの仲間。白い体に青い斑点が散らばる美しい姿をしています。テッポウエビ類と共生し、エビが掘った巣穴を住処にします。ハゼは巣穴の入り口で見張りをし、危険を察知すると尾ビレを震わせてエビに伝え、共に巣穴へ逃げ込みます。ペアでいることが多く、その仲睦まじい様子が観察できます。
5141,アオハナテンジクダイ,Ostorhinchus apogonides,南日本の太平洋岸、八丈島、三宅島、琉球列島；インド・太平洋沿岸,岩穴やサンゴの下、棘皮動物の周辺など、少し暗い場所,全長約8cm,15m,テンジクダイの仲間で、黄色い体と青く縁取られた大きな目が特徴です。サンゴ礁の岩陰や洞窟の中など、やや暗い場所に群れで隠れています。昼間はあまり動かず、群れ全体でじっとしています。他の多くのテンジクダイ類と同様に、オスが口の中で卵を守る習性を持っています。
351,アオバスズメダイ,Chromis atripectoralis,琉球列島；インド・太平洋,サンゴ礁域の礁池の水深2～15m,全長約6cm,5m,スズメダイの仲間で、枝状サンゴの上で非常に大きな群れを作ることで知られています。よく似たデバスズメダイとの見分け方は、胸ビレの付け根にある黒い斑点です。プランクトンを食べるため、サンゴの上で一斉にホバリングする姿は圧巻です。危険を感じると一斉にサンゴの枝の間に隠れます。
578,アオブダイ,Scarus ovifrons,南日本の太平洋岸、琉球列島、台湾岩礁域,岩礁域,全長約70cm,12m,ブダイの仲間の中でも特に大型になる種類です。オスは成長すると額が大きく張り出してコブ状になるのが特徴。非常に硬い歯を持っており、岩やサンゴに付着した藻類を岩ごと削り取って食べます。食事の際にはバリバリという大きな音が聞こえることもあります。筋肉や内臓に毒を持つことがある魚です。
2329,アオベニハゼ,Trimma maiandros,八丈島、琉球列島；サイパン,サンゴ礁域、水深6〜25mの崖の壁や亀裂の暗がり,全長約2.5cm,12m,岩の隙間や洞窟など、暗い場所を好む小型のハゼの仲間です。名前の通り、青と赤（紅）の鮮やかなコントラストが特徴で、ライトを当てると非常に美しく見えます。普段は岩の天井などに張り付いていることが多く、ダイバーが近づくと素早く奥へと隠れてしまいます。暗がりを注意深く探すと見つかります。
2888,アオヤガラ,Fistularia commersonii,北海道以南、南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・汎太平洋,沿岸浅所,全長約50cm,3m,細長い筒状の体と、長く伸びた口が特徴的な魚です。サンゴ礁や砂地の浅い場所で、単独または大きな群れを作って中層を漂うように泳いでいます。小魚や甲殻類を見つけると、長い口で素早く吸い込んで捕食します。他の大きな魚の体に寄り添って隠れ、獲物に近づくという賢い狩りをすることもあります。
3425,アオリイカ,Sepioteuthis lessoniana,北海道以南、インド・太平洋域,沿岸の浅海、岩礁域、アマモ場,胴長約40cm,1-50m,沿岸でよく見られるイカの仲間で、ダイバーにも人気が高い生き物です。ヒレが胴体の全長にわたって広がっており、これを波打たせて泳ぎます。体色を瞬時に変化させる能力を持ち、周囲の環境に擬態したり、コミュニケーションに使ったりします。春には浅場の海藻などに産卵するため、その様子が観察できることもあります。
2334,アカイソハゼ,Eviota masudai,小笠原諸島、伊豆大島、相模湾～鹿児島県、沖縄諸島,岩礁域、岩や転石の表面,全長約3cm,12m,サンゴ礁に生息する非常に小さなハゼの仲間。名前の通り、全身が鮮やかな赤色をしているのが最大の特徴です。枝状サンゴの隙間や岩陰に隠れるように生活しており、見つけるにはサンゴの根元などを注意深く観察する必要があります。動きは素早く、危険を感じるとすぐに隠れてしまいます。
3805,アカエイ,Hemitrygon akajei,南日本；渤海、黄海、東シナ海、南シナ海,浅海の砂底,体盤幅約60cm,12m,エイの仲間で、沿岸の砂地に生息しています。普段は砂に潜って目だけを出して隠れていることが多く、うっかり踏まないように注意が必要です。尾の中ほどに非常に強力な毒針を持っており、刺されると大変危険です。ダイバーが上を通過する際は、驚かせないように距離を保ち、海底の様子をよく確認しましょう。
2740,アカエソ,Synodus ulae,南日本の太平洋沿岸、伊豆・小笠原諸島、琉球列島；ハワイ,岩礁から砂地,全長約20cm,8m,ワニのような顔つきをした、待ち伏せ型の肉食魚です。砂地やガレ場にじっと潜み、体を砂に半分埋めて獲物を待ち構えます。小魚などが近くを通りかかると、目にもとまらぬ速さで飛び出して捕食します。海底に溶け込んでいるため見つけにくいですが、特徴的な大きな口と目を探すと発見できます。
2910,アカオビコテグリ,Neosynchiropus sp.,南日本の太平洋岸、若狭湾；朝鮮半島,岩礁域、潮だまりなど浅い場所、ガレ混じりの砂底,全長約8cm,25m,ネズッポの仲間で、鮮やかな色彩と模様がダイバーに人気の魚です。海底を這うようにゆっくりと移動し、小さな甲殻類などを探して食べます。特にオスの背ビレは非常に大きく美しいですが、普段はたたんでいます。求愛行動の際には、オスがこの美しい背ビレを大きく広げてメスにアピールします。
13695,アカオビサンゴアマダイ,Hoplolatilus marcosi,沖縄県；西部太平洋の熱帯域,水深50～71m、潮通しのよい所,全長約10cm,43m,アマダイの仲間で、砂礫底のやや深い場所に生息します。自分で掘った巣穴の近くで生活し、ペアでいることが多いです。体側の赤い帯模様が特徴で、危険を感じると素早く巣穴に逃げ込みます。巣穴から少し離れた場所でホバリングしながらプランクトンを食べている姿が見られます。
152,アカオビハナダイ,Pseudanthias rubrizonatus,南日本の太平洋岸、東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深10～58m,全長約12cm,40m,ハナダイの仲間で、やや深い岩礁の斜面やドロップオフに生息しています。オスは体に赤い帯模様が入るのが特徴で、1匹のオスが複数のメスを率いるハレムを形成します。潮通しの良い場所で群れを作り、プランクトンを捕食します。メスからオスへ性転換する魚としても知られています。
267,アカオビベラ,Stethojulis bandanensis,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋からハワイ諸島を除く中・西部太平洋、東部太平洋の熱帯域,岩礁域サンゴ礁域,全長約10cm,10m,ベラの仲間で、サンゴ礁や岩礁域の砂地が混じる場所で見られます。常に忙しなく泳ぎ回っており、あまり止まることがありません。オスは緑色の体に赤い帯が入り美しいですが、メスや幼魚は地味な色合いです。危険を感じると砂の中に潜って隠れる習性があります。他の魚のクリーニングをすることもあります。
2525,アカカマス,Sphyraena pinguis,南日本、伊豆諸島、琉球列島；インド・西太平洋,沿岸浅所,全長約25cm,5m,カマスの仲間で、沿岸の中層域で大きな群れを作って泳いでいます。銀色に輝く細長い体と、鋭い歯を持つ大きな口が特徴です。群れ全体が同じ方向を向いて静止していることもあれば、一斉に移動することもあります。その群れの様子はダイバーにとって圧巻の光景です。小魚などを食べる肉食魚です。
3758,アカククリ,Platax pinnatus,琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、礁斜面の底近くや岩尾根,全長約30cm,15m,マンジュウダイの仲間で、幼魚と成魚で姿が劇的に変化することで有名です。幼魚は黒い体にオレンジ色の縁取りがあり、ひらひらと泳ぐ姿が非常に美しいです。成魚になると体高が高く円盤状になり、銀色の体に黒い縦縞が入る落ち着いた姿に変わります。幼魚はマングローブ域や内湾で見られます。
15606,アカグツ,Halieutaea stellata,青森県以南、南日本の太平洋岸、伊江島：西部太平洋,海底,全長約25cm,30m,アンコウの仲間で、平たい円盤状のユニークな体型をしています。胸ビレと腹ビレを足のように使って、海底を歩くように移動するのが最大の特徴です。砂泥底のやや深い場所に生息しており、体表の模様で周囲の環境に擬態しています。頭部の突起（エスカ）を振って、獲物をおびき寄せます。
259,アカササノハベラ,Pseudolabrus eoethinus,南日本の太平洋岸、沖縄島、中国南部、台湾,岩礁域,全長約22cm,20m,日本の温帯域で見られるベラの仲間。岩礁やその周辺の砂地で単独で生活しています。オスは赤みが強く、メスは茶色っぽいなど、性別や成長段階で体色が異なります。海底近くを泳ぎながら、甲殻類や貝類などの硬い餌を丈夫な歯で砕いて食べます。夜は砂に潜って眠る習性があります。
2755,アカシュモクザメ,Sphyrna lewini,南日本の太平洋岸、琉球列島；世界の温帯～熱帯海域,水面～水深280mの沿岸域、近海や河口,全長約2.5m,20m,サメの仲間で、左右に突き出たハンマーのような頭部が最大の特徴です。この頭部には多くのセンサーが備わっており、獲物を探すのに役立っています。沿岸から沖合まで広く回遊し、数百匹以上の巨大な群れ（ハンマーリバー）を形成することがあり、ダイバーの憧れの的となっています。主にエイなどを捕食します。
2392,アカスジウミタケハゼ,Pleurosicya micheli,伊豆諸島、相模湾、伊豆半島、紀伊半島、愛媛県宇和海、高知県柏島、奄美大島、沖縄諸島、八重山諸島；インド・太平洋,岩礁域やサンゴ礁域、イシサンゴ類に着生,全長約2.5cm,15m,非常に小さなハゼの仲間で、ウミタケと呼ばれるカイメン類やホヤ類の上で生活するという特殊な習性を持っています。半透明の体に赤い縦縞が入っており、宿主の色に紛れて見つけにくいことがあります。常に宿主の表面にいるため、特定のカイメンやホヤを探すことが発見の近道です。
13604,アカタナゴ,Ditrema jordani,千葉県から徳島県までの太平洋岸,外洋に面したガラモ場,全長約20cm,7m,ウミタナゴの仲間で、体高が高く平たい体型をしています。メスが卵ではなく稚魚を産む「卵胎生」という珍しい繁殖形態をとります。岩礁や藻場に群れで生息し、動物プランクトンや小型の甲殻類を食べます。口が小さく、前に突き出すことができるのが特徴です。ダイバーには比較的警戒心が薄い魚です。
11257,アカタマガシラ,Parascolopsis eriomma,南日本の太平洋岸，琉球列島；インド・西太平洋,岩礁に隣接する水深50～100mの砂泥底,全長約10cm,15m,イトヨリダイの仲間で、砂泥底に生息しています。赤い体と大きな目が特徴で、群れを作って海底から少し離れたところを泳いでいます。背ビレの棘が長く伸びる個体もいます。海底のゴカイや甲殻類を食べるため、時々海底に降りて餌を探す行動も見られます。比較的おとなしい魚です。
14103,アカツキハギ,Acanthurus achilles,沖縄島、南大東島、南鳥島、沖ノ鳥島；汎太平洋,サンゴ礁域、波当たりの強い礁外縁の浅所,全長約20cm,5m,ニザダイの仲間で、黒い体に鮮やかなオレンジ色の斑点が尾ビレの付け根にあるのが特徴です。波当たりの強い、浅いサンゴ礁や岩礁を好んで生息しています。岩に付着した藻類を食べます。動きが素早く、常に泳ぎ回っているため観察はじっくりと。尾ビレの付け根には鋭い棘があるので注意が必要です。
308,アカテンモチノウオ,Cheilinus chlorourus,駿河湾、南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約22cm,15m,ベラの仲間で、サンゴ礁や岩礁の砂地が混じる場所で見られます。緑がかった体に白い斑点が散らばり、目の後ろに赤い点があるのが名前の由来です。海底の砂を口に含んでは吐き出し、中にいる小さな甲殻類などを探して食べます。単独で行動していることが多く、ゆっくりと観察できます。
7887,アカニジベラ,Halichoeres margaritaceus,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,岩礁域やサンゴ礁域の浅所、岩礁やサンゴの周辺,全長約9cm,9m,ベラの仲間で、浅いサンゴ礁や岩礁のガレ場などでよく見かけます。オスは成長すると緑色の体に虹色の模様が現れ非常に美しいですが、メスや幼魚は白地に黒い縦縞が2本入る全く異なる姿をしています。常にせわしなく泳ぎ回り、岩をつついて餌を探しています。
2357,アカネダルマハゼ,Paragobiodon xanthosomus,琉球列島；インド・太平洋,サンゴ礁域、トゲサンゴ類のサンゴの枝間,全長約3cm,5m,サンゴ礁に生息する小型のハゼの仲間です。ミドリイシなど、特定の枝状サンゴの枝の間にペアや小さな群れで暮らしています。サンゴを住処兼産卵場所として利用する、サンゴと共生関係にある魚です。全身が鮮やかな黄色やオレンジ色で、サンゴの隙間から顔を出す姿はとても愛らしいです。
5549,アカネハゼ,Valenciennea bella,沖縄諸島、石垣島、西表島；フィリピン,サンゴ礁域、礁外縁部の水深20～40mのガレ場,全長約6cm,21m,砂地に生息する美しいハゼの仲間。白い体に鮮やかな茜色（あかねいろ）の模様が入ることが名前の由来です。テッポウエビ類と共生し、エビが掘った巣穴で暮らしています。巣穴の入り口で見張りをし、危険を察知するとエビと共に巣穴へ隠れます。臆病なため、観察するには砂煙を立てず静かに近づくことが大切です。
157,アカネハナゴイ,Pseudanthias dispar,琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深3～15m、潮通しのよいサンゴ礁外縁部,全長約8cm,12m,ハナダイの仲間で、サンゴ礁の外縁やドロップオフで華やかな群れを作ります。オスは背ビレが長く伸び、体色がより鮮やかで、メスは全体的にオレンジ色をしています。1匹のオスと多数のメスからなるハレムを形成し、潮に向かって泳ぎながらプランクトンを食べます。その群舞は水中景観を彩る代表的な光景です。
