和名,学名,分布,深さ,体長,description
オオシイノミガイ,Japonactaeon sieboldii,西太平洋,15m,7~20mm,殻は薄く光沢があり、縫合下は白色。肩と殻底に褐色螺帯がある。軟体は白みを帯びた半透明。Acteon 属から変更された。殻長20mmに達する。
ムラクモキジビキガイ,Japonactaeon nipponensis,ロシアから九州,0.5m,5~13mm,殻は淡黄色で黒色の縦縞があり、縫合近くでは地色と交互になりよく目だつ。全面に細い螺溝がある。軟体は黒色で頭楯はやや淡い。殻長13mmに達する。
アサグモキジビキガイ,Japonactaeon sp.,日本,12m,12~10mm,殻はコシイノミガイに比べやや丸い。肋上のみに黒色の破線が並ぶ。縫合下は白色。軟体は白色。過去の本ではコシイノミガイとされていた場合もある。殻長10mmに達する。
コシイノミガイ,Pupa strigosa,西太平洋,5m,5~15mm,殻は白色で、全面に強い刻点状の螺溝がある。灰色の縦線が螺溝に寸断され、破線状になる。体層は砲弾型。軟体は白色。殻長15mmに達する。
タイワンカヤノミガイ,Pupa solidula,インド-西太平洋,18m,10~25mm,殻は白色で、縫溝は深く明瞭。黒色または灰色の縦線が多数あり、縫溝で寸断され方形斑状になる。軟体は白色。殻長25mmに達する。
キジビキガイ,Punctacteon fabreanus,西太平洋,5m,11~18mm,殻は少し光沢があり、全体に刻点状の縫溝がある。赤褐色の3つの螺帯がある。ベニカヤノミガイに似るが、縫溝の幅が狭い。軟体は白色。殻長18mmに達する。
オオキジビキガイ,Punctacteon kirai,西太平洋,20m,10~26mm,殻はピンク色で、縦溝はキジビキガイよりも太く強い。軟体は白色。殻長26mmに達する。
アカフキジビキガイ,Punctacteon flammeus,インド-西太平洋,15m,9~16mm,殻は白色で、炎のような形状のピンクの斑紋が並ぶ3螺帯がある。全体に縦溝がある。軟体は白色。殻長16mmに達する。
ウスムラサキキジビキガイ,Rictaxiella choshiensis,日本,23m,5~9.5mm,殻は淡紫色で、縫合下に白色螺帯がある。全体に濃色の刻点状の縦溝がある。腹足は紫色を帯びた半透明。頭楯は淡黄色。殻長9.5mmに達する。
ベニシボリガイ,Bullina lineata,西太平洋、中部太平洋,5m,10~15mm,殻は白色で2本の細い赤色螺帯があり、湾曲した赤色縦線が交差するように配置する。軟体は白みを帯びた半透明で、淡青色線で縁取られる。殻長15mmに達する。
オオベニシボリ,Bullina nobilis,日本、フィリピン,8m,10~20mm,殻は白色で薄質大型。2本の赤色螺帯と数本の赤色縦線がある。ベニシボリガイに似るが彫刻は粗く、赤色縦線の湾曲は弱い。軟体は白みを帯びた半透明で縁取りはない。殻長20mmに達する。
